Serial_No,Bill_File,Store_Name,Invoice_Date,Total,Image Count,Card used
1,bill1,7712,,,1,cash
2,bill2,ISELIN EXXON,2026-03-04,20.0,1,6001
3,bill3,WELCOME,2026-03-06,49.53,1,7144
4,bill4,VIVEK FLOWERS,2026-03-08,15.0,1,cash
5,bill5,Laxmi Flowers llc,2026-03-08,63.9,1,8352
6,bill6,ISELIN EXXON,2026-03-09,63.93,1,6001
7,bill7,DELIGHT FOODS,2026-03-21,84.81,1,cash
8,bill8,PATEL BROTHERS,2026-03-13,87.0,1,8352
9,bill9,ISELIN EXION,2026-03-15,80.68,1,6001
10,bill10,++++,2026-03-11,22.0,1,cash
11,bill11,VIVEK FLOWERS,2026-03-15,75.0,1,cash
12,bill12,SUBZI MANDI CASH & CARRY,2028-03-16,1628.7,1,cash
